,smiles,dat,id
0,C#CCOc3nc(c1ccccc1)nc4sc2CCCc2c34,630004,CHEMBL1087078
1,OC[C@H]3OC(n1cnc2c(NCCS(O)(=O)=O)ncnc12)[C@H](O)[C@@H]3O,607385,CHEMBL610435
2,CCNC(=O)[C@H]4OC(n2cnc3c(N)nc(C#Cc1ccc(CCC(O)=O)cc1)nc23)[C@H](O)[C@@H]4O,605505,CHEMBL605065
3,Ic5cccc(n1c(=S)sc3c1ncn4nc(c2ccco2)nc34)c5,623098,CHEMBL1093479
4,C=CCn1c(=S)sc3c1ncn4nc(c2ccco2)nc34,623027,CHEMBL1092271
5,CCNC(=O)[C@H]6O[C@@H](n4cnc5c(NCC(c1ccccc1)c2ccccc2)nc(NCCc3c[nH]cn3)nc45)[C@H](O)[C@@H]6O,216843,CHEMBL336608
6,COc5ccc(CCCn1ncc3c1nc(N)n4nc(c2ccco2)nc34)cc5,227480,CHEMBL136689
7,CCNC(=O)[C@H]4O[C@@H](n2cnc3c(N)nc(N[C@@H]1CCC[C@H]1O)nc23)[C@H](O)[C@@H]4O,216002,CHEMBL130830
8,Nc4nc(c1ccco1)c3c(=O)c2ccccc2c3n4,628932,CHEMBL1095999
9,Nc4nc(c1ccccc1)c3c(=O)c2ccccc2c3n4,301088,CHEMBL369573
10,Nc3nc(NCCc1ccc(O)cc1)nc4nc(c2ccco2)nn34,184427,CHEMBL113142
11,COc6ccc(N5CCN(CCn1cnc3c1nc(N)n4nc(c2ccco2)nc34)CC5)cc6,407648,CHEMBL245848
12,Nc4nc2n(CCc1ccc(N(CCO)CCO)cc1)ncc2c5nc(c3ccco3)nn45,28150,CHEMBL22202
13,Nc3nc1ccc(Cl)cc1c4nc(c2ccco2)nn34,18409,CHEMBL16687
14,CCNC(=O)[C@H]6O[C@@H](n4cnc5c(NCC(c1ccccc1)c2ccccc2)nc(N[C@@H]3CCC[C@H]3O)nc45)[C@H](O)[C@@H]6O,215828,CHEMBL131457
15,Nc4nc2nn(CCCc1ccccc1)cc2c5nc(c3ccco3)nn45,230755,CHEMBL423542
16,Cn2c(C1CCCCC1)nc3n(C)c(=O)n(C)c(=O)c23,26126,CHEMBL281811
17,Nc5nc3n(CCCc2ccc1OC(CO)(CO)Oc1c2)ncc3c6nc(c4ccco4)nn56,28631,CHEMBL282888
18,COc3cc(OC)cc(c2cc(NC(C)=O)nc(n1nc(C)cc1C)n2)c3,516531,CHEMBL487569
19,Cc4ccc(CCOc3nc(N)c2ncn(C1O[C@@H](CO)[C@H](O)[C@@H]1O)c2n3)cc4,605181,CHEMBL605668
20,COc1cc(CN(C)C)ccc1OCC(=O)Nc4cc(n2nc(C)cc2C)nc(c3ccc(C)o3)n4,424902,CHEMBL429125
21,CN(C)Cc4ccc(CC(=O)Nc3cc(n1nc(C)cc1C)nc(c2ccc(C)o2)n3)cc4,436302,CHEMBL255739
22,Nc5nc(N3CCN2C[C@@H](COc1cccc(F)c1)CC[C@H]2C3)nc6nc(c4ccco4)nn56,373013,CHEMBL373700
23,CCCn4c(=O)n(CCCOC(=O)c1ccc(S(F)(=O)=O)cc1)c3[nH]c(C2CCCC2)nc3c4=O,147863,CHEMBL327708
24,Nc3nc(N/N=C/C1CCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,607365,CHEMBL609256
25,CC(=O)Nc4cc(c2cccc(N1CCCC1)n2)nc(n3nc(C)cc3C)n4,516693,CHEMBL485765
26,CCCn4c(=O)n(CCCNC(=O)c1ccc(S(F)(=O)=O)cc1)c3[nH]c(C2CCCCC2)nc3c4=O,243850,CHEMBL144360
27,Nc5nc(N(CCN2CCN(c1ccc(F)cc1F)CC2)CC3CC3)cc6nc(c4ccco4)nn56,475446,CHEMBL470942
28,CN(CCN2CCN(c1ccc(F)cc1F)CC2)c5cc4nc(c3cnco3)nn4c(N)n5,475520,CHEMBL480542
29,CN(CCN2CCN(c1ccc(F)cc1F)CC2)c5cc4nc(c3nccnc3C)nn4c(N)n5,475610,CHEMBL480570
30,Nc5nc(NC[C@@H]3CC[C@@H]2CN(c1ncccn1)CCN2C3)nc6nc(c4ccco4)nn56,373139,CHEMBL222868
31,Nc5nc(N3CCN2C[C@@H](Cn1ccnc1)CC[C@H]2C3)nc6nc(c4ccco4)nn56,373045,CHEMBL373560
32,Nc5nc(N3CCN2C[C@@H](COc1cccnc1)CC[C@H]2C3)nc6nc(c4ccco4)nn56,373091,CHEMBL222784
33,Nc4nc2nn(CCc1ccccc1)cc2c5nc(c3ccco3)nn45,18414,CHEMBL16867
34,Nc3nc(N/N=C/C1CCC=CC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,607480,CHEMBL611607
35,CCCn4c(=O)n(CCCNC(=O)c1ccc(S(F)(=O)=O)cc1)c3[nH]c(C2CCCC2)nc3c4=O,177959,CHEMBL321218
36,Nc4nc(c2cccc(N1CCC(=O)CC1)c2)cc5nc(c3ccco3)nn45,297102,CHEMBL354419
37,COCCOc6ccc(N5CCN(CCn1ncc3c1nc(N)n4nc(c2ccco2)nc34)CC5)c(F)c6,410124,CHEMBL393410
38,CCn5nnc([C@H]4O[C@@H](n2cnc3c(N)nc(N[C@H](CO)Cc1ccccc1)nc23)[C@H](O)[C@@H]4O)n5,311899,CHEMBL186113
39,COC4CCN(c3cccc(c2cc(NC(C)=O)nc(n1nc(C)cc1C)n2)n3)CC4,516845,CHEMBL487553
40,COC4CN(c3cccc(c2cc(NC(C)=O)nc(n1nc(C)cc1C)n2)n3)C4,516844,CHEMBL487554
41,CCNC(=O)[C@H]4OC(n2cnc3c(N)nc(CC1CCC(CO)CC1)nc23)[C@H](O)[C@@H]4O,607092,CHEMBL611583
42,Nc4nc(c1nccs1)c3c(=O)c2ccccc2c3n4,629011,CHEMBL1086847
43,Nc5nc(c3cccc(N1CCC2(CC1)OCCO2)c3)cc6nc(c4ccco4)nn56,297038,CHEMBL179265
44,CCCCOC(=O)N5CCN(c4cccc(c3cc2nc(c1ccco1)nn2c(N)n3)c4)CC5,297151,CHEMBL176144
45,Nc5nc(c3cccc(N2CCN(C(=O)CN1CCOCC1)CC2)c3)cc6nc(c4ccco4)nn56,297078,CHEMBL175476
46,Cc5cc(C)n(c4cc(NC(=O)COc2cc(F)cc(CN1CCCC1)c2)nc(c3ccc(C)o3)n4)n5,424892,CHEMBL256332
47,COc6ccc(c5ccc(CCn1ncc3c1nc(N)n4nc(c2ccco2)nc34)cc5)cc6,467899,CHEMBL521438
48,COCCN(CCN2CCN(c1ccc(F)cc1F)CC2)c5cc4nc(c3ccco3)nn4c(N)n5,475369,CHEMBL514939
49,Nc4nc(OCCc2ccc1ccccc1c2)nc5n(C3O[C@@H](CO)[C@H](O)[C@@H]3O)cnc45,605234,CHEMBL605878
50,CC(=O)Nc3cc(n1cccn1)nc(c2ccco2)n3,418971,CHEMBL401321
51,Nc4nc(c1cccs1)c3c(=O)c2ccccc2c3n4,629010,CHEMBL1086846
52,Cn2c(=O)n(C)c1nc[nH]c1c2=O,381693,CHEMBL190
53,Nc6nc4n(CCN3CCN(c2ccc(OCCOC1CC1)cc2)CC3)ncc4c7nc(c5ccco5)nn67,410130,CHEMBL240847
54,Cc6ccc(c5ccc(CCn1ncc3c1nc(N)n4nc(c2ccco2)nc34)cc5)cn6,467973,CHEMBL519111
55,CCNC(=O)[C@H]4OC(n2cnc3c(N)nc(C#CC1(O)CCCC1)nc23)[C@H](O)[C@@H]4O,604991,CHEMBL603781
56,CC(Cc1ccccc1)Nc3ncnc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,140122,CHEMBL86605
57,Nc6nc(N4CCN3C[C@@H](COc2ccc1ncccc1c2)CC[C@H]3C4)nc7nc(c5ccco5)nn67,373036,CHEMBL374881
58,CN(C)c3cccc(c2cc(NC(C)=O)nc(n1nc(C)cc1C)n2)n3,516692,CHEMBL487572
59,CCn3c(=O)n(CC)c2nc(/C=C/c1ccc(OC)c(C)c1OC)n(C)c2c3=O,123036,CHEMBL77691
60,Nc3nc(N\N=C\CC1CCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,607354,CHEMBL608663
61,COCCOc6ccc(C5CCN(CCn1cnc3c1nc(N)n4nc(c2ccco2)nc34)CC5)cc6,407653,CHEMBL246054
62,Cc4cc(OCC(=O)Nc3cc(n1nc(C)cc1C)nc(c2ccc(C)o2)n3)cc(C)n4,424907,CHEMBL253528
63,Nc5nc3n(CCN2CCc1ccc(N(=O)=O)cc1CC2)ncc3c6nc(c4ccco4)nn56,448779,CHEMBL472111
64,COCCOc5ccc(N4CCN(CCN(C)c3cc2nc(c1cccc(C#N)c1)nn2c(N)n3)CC4)cc5,475519,CHEMBL480380
65,Nc4ccc(Cn2nnc3c(c1ccco1)nc(N)nc23)cc4F,471458,CHEMBL517886
66,CN4CCN(c3cccc(c2cc(NC(C)=O)nc(n1nc(C)cc1C)n2)n3)CC4,516777,CHEMBL486162
67,CC(C)CCn4cc2c(nc(N)n3nc(c1ccco1)nc23)n4,137534,CHEMBL315150
68,CC(C)c4ccc3Cc2c(c1ccc(Br)o1)nc(N)nc2c3c4,301104,CHEMBL360241
69,Nc5nc(c3cccc(N2CCC(N1CCOCC1)CC2)c3)cc6nc(c4ccco4)nn56,297329,CHEMBL360707
70,Cc5cc(C)n(c4cc(NC(=O)Cc2ccc(CN1CCOCC1)cc2)nc(c3ccc(C)o3)n4)n5,436300,CHEMBL255951
71,Nc3nc(NCCc1ccc(O)cc1)cc4nc(c2ccco2)nn34,296494,CHEMBL174979
72,CC(=O)Nc4cc(c2cccc(N1CCOCC1)n2)nc(n3nc(C)cc3C)n4,516690,CHEMBL520229
73,Nc5nc(c1ccccc1)c4c(=O)c3ccc(NCCc2ccncc2)cc3c4n5,628780,CHEMBL1098458
74,Nc5nc(c1ccccc1)c4c(=O)c3ccc(NCCc2ccccn2)cc3c4n5,628781,CHEMBL1098765
75,Nc5nc3n(CCN2CCN(c1ccc(Cl)cn1)CC2)cnc3c6nc(c4ccco4)nn56,407660,CHEMBL246467
76,CN4CCN(CC(=O)Nc3cc(c1nccs1)nc(c2ccco2)n3)CC4,418973,CHEMBL398272
77,Nc5nc3n(CCc2ccc(c1cnccn1)cc2)ncc3c6nc(c4ccco4)nn56,468042,CHEMBL481132
78,Nc3nc(C#CC1(O)CCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,606236,CHEMBL611527
79,CCNC(=O)[C@H]4OC(n2cnc3c(N)nc(C#CC(O)c1ccccc1)nc23)[C@H](O)[C@@H]4O,604993,CHEMBL603783
80,Nc5nc(c1ccccc1)c4c(=O)c3ccc(CNN2CCOCC2)cc3c4n5,629394,CHEMBL1088247
81,COCCOc6ccc(N5CCN(c4cccc(c3cc2nc(c1ccco1)nn2c(N)n3)c4)CC5)cc6,297283,CHEMBL175961
82,Cc4cc(C)n(c3cc(NC(=O)Cc1ccc(S(C)(=O)=O)cc1)nc(c2ccccn2)n3)n4,436469,CHEMBL270654
83,COc4ccc(CC(=O)Nc3cc(c1nccs1)nc(c2ccccn2)n3)cc4,436903,CHEMBL256382
84,Nc4nc(c1ccco1)c3ncn(C(=O)NCc2ccccc2Cl)c3n4,427522,CHEMBL411034
85,Nc4nc(c1ccco1)c3ncn(C(=O)NCc2cccs2)c3n4,427579,CHEMBL409915
86,Nc4nc(c1ccco1)c3cnn(Cc2cccc(Cl)c2)c3n4,427285,CHEMBL257757
87,Nc4nc(c1ccco1)c3cnn(C(=O)NCc2ccccc2)c3n4,427338,CHEMBL260146
88,CN4CCCC(Oc3cccc(c2cc(NC(C)=O)nc(n1nc(C)cc1C)n2)c3)C4,517054,CHEMBL472026
89,CN4CCC(Oc3cc(F)cc(c2cc(NC(C)=O)nc(n1nc(C)cc1C)n2)c3)C4,517263,CHEMBL472460
90,Nc3nc(c1ccco1)cc(c2ccco2)c3C#N,489248,CHEMBL506250
91,Nc3nc(C(=O)NCCc1ccc(O)cc1)cn4nc(c2ccco2)nc34,327188,CHEMBL373026
92,Cc3ccc(c2cc(C(=O)NCc1ncc[nH]1)nc(N)n2)o3,591874,CHEMBL594363
93,CCN(CC)C(=O)c4cccc(c3cn2nc(c1ccco1)nc2c(N)n3)c4,327142,CHEMBL196320
94,CCCCNC(=O)c3cn2nc(c1ccco1)nc2c(N)n3,327178,CHEMBL426821
95,CC(O)(Cc1ccncc1)C#Cc4cn3nc(c2ccco2)nc3c(N)n4,303751,CHEMBL359463
96,Nc5nc(c1ccco1)c4nnn(Cc3ccc2[nH]ccc2c3)c4n5,472437,CHEMBL468256
97,Nc3nc(C#CC1(O)CCCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,606257,CHEMBL608297
98,OC[C@H]4O[C@H](n2cnc3c(NC1CCCC1)ncnc23)[C@@H](O)[C@H]4O,110480,CHEMBL68738
99,COCCOc6ccc(N5CCN(Cc4cccc(c3cc2nc(c1ccco1)nn2c(N)n3)c4)CC5)cc6C#N,297163,CHEMBL180211
100,Cc5cc(C)n(c4cc(NC(=O)COc1ccccc1CCN2CCOCC2)nc(c3ccc(C)o3)n4)n5,424900,CHEMBL256755
101,Cc5cc(C)n(c4cc(NC(=O)COc2cccc(CN1CCOCC1)c2)nc(c3ccc(C)o3)n4)n5,424889,CHEMBL256125
102,CCCN3C2N=C(c1ccc(OCC(=O)NCCN)cc1)NC2C(=O)N(CCC)C3=O,56127,CHEMBL39503
103,CCNC(=O)[C@H]4OC(n2cnc3c(N)nc(C#CCCCc1ccccc1)nc23)[C@H](O)[C@@H]4O,605476,CHEMBL603813
104,Nc4nc2nn(Cc1ccc(F)cc1)cc2c5nc(c3ccco3)nn45,18538,CHEMBL278906
105,S=c4sc2c(ncn3nc(c1ccco1)nc23)n4CCc5ccccc5,623099,CHEMBL1093480
106,Nc5nc(c3cccc(N2CCN(CCN1CCOCC1)CC2)c3)cc6nc(c4ccco4)nn56,297238,CHEMBL176229
107,CN(C)c3nc(c1nc(C)cs1)c2sccc2n3,427600,CHEMBL406315
108,CC(N1CCOCC1)c7ccc6cc(CCn2ncc4c2nc(N)n5nc(c3ccco3)nc45)ccc6n7,468184,CHEMBL516753
109,CCCn4c(=O)n(CCC)c3[nH]c(c2ccc(OCC(=O)NCCNC(=O)C(N)Cc1cccs1)cc2)nc3c4=O,85023,CHEMBL55196
110,Nc5nc(c1ccco1)c4ncn(Cc3ccc2ccccc2c3)c4n5,324801,CHEMBL195364
111,Nc5nc3n(CCN2CCN(c1ncc(F)cn1)CC2)cnc3c6nc(c4ccco4)nn56,407657,CHEMBL246262
112,Nc3nc(c1ccco1)cc(c2cccs2)c3C#N,489243,CHEMBL476311
113,Nc4nc(SCCN2CCN(c1ccc(F)cc1F)CC2)cc5nc(c3ccco3)nn45,475193,CHEMBL521242
114,OC[C@H]4OC(n2cnc3c(NC1CCCCC1)ncnc23)[C@H](O)[C@@H]4O,139575,CHEMBL85549
115,Nc3nc(c1ccccn1)cc4nc(c2ccco2)nn34,296945,CHEMBL177330
116,Nc4nc(c2cnn(Cc1ccccc1)c2)nc5n(C3O[C@H](CO)[C@@H](O)[C@H]3O)cnc45,312651,CHEMBL187326
117,Nc4nc2n(Cc1ccccc1)cnc2c5nc(c3ccco3)nn45,407644,CHEMBL245645
118,CN(C)C[C@@H]4CCCN(CC(=O)Nc3cc(n1nc(C)cc1C)nc(c2ccc(C)o2)n3)C4,440015,CHEMBL409460
119,COCCOc6cccc5CCN(CCn1ncc3c1nc(N)n4nc(c2ccco2)nc34)Cc56,447790,CHEMBL512133
120,COCCOC(C)c6ccc5cc(CCn1ncc3c1nc(N)n4nc(c2ccco2)nc34)ccc5n6,468111,CHEMBL481146
121,O=C(CN1CCOCC1)Nc4cc(n2cccn2)nc(c3ccco3)n4,419353,CHEMBL252345
122,Nc5nc3n(CCN2CCc1ncc(Br)cc1C2)ncc3c6nc(c4ccco4)nn56,447624,CHEMBL470088
123,Nc6nc4n(CCc3ccc2nc(C(=O)N1CCOCC1)ccc2c3)ncc4c7nc(c5ccco5)nn67,468183,CHEMBL482138
124,COc4ccc(CCSc3cc2nc(c1ccco1)nn2c(N)n3)cc4,474985,CHEMBL475445
125,Nc5nc3n(CCN2CCN(c1nccs1)CC2)cnc3c6nc(c4ccco4)nn56,407658,CHEMBL246263
126,COCc3cccc(CNC(=O)c2cc(c1ccco1)nc(N)n2)n3,554719,CHEMBL564473
127,Nc3nc(N\N=C\CCC1CCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,607364,CHEMBL608966
128,O=C(COc1cccc(C#N)c1)Nc4cc(c2nccs2)nc(c3ccccn3)n4,424879,CHEMBL255911
129,Nc6nc4n(CCc3ccc2nc(N1CCOCC1)ccc2c3)ncc4c7nc(c5ccco5)nn67,468185,CHEMBL479784
130,CCC(=O)Nc3cc(c1cncc(OC)c1)nc(n2nc(C)cc2C)n3,516613,CHEMBL486140
131,CC(C)CCn5cc3c(nc(NC(=O)Cc1cccc(Cl)c1)n4nc(c2ccco2)nc34)n5,568641,CHEMBL576185
132,Nc6nc4n(CCN3CCc2ncc(C1CC1)cc2C3)ncc4c7nc(c5ccco5)nn67,447623,CHEMBL469893
133,Nc4nc(c1ccco1)c3nnn(Cc2ccsc2)c3n4,471384,CHEMBL506101
134,Nc3nc(C#CC1(O)CCCCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,606237,CHEMBL611528
135,Nc3nc(c1ccncc1)cc4nc(c2ccco2)nn34,296916,CHEMBL180109
136,Nc3nc(NCCC1CCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,139588,CHEMBL87459
137,CC1CCCCN1C(=O)c4cc(N)n3nc(c2ccc(Br)o2)nc3c4,184603,CHEMBL113967
138,COC[C@H]1CCCN1C(=O)c4cc(N)n3nc(c2ccc(Br)o2)nc3c4,184189,CHEMBL112773
139,COCCOc6ccc(N5CCN(CCn1cnc3c1nc(N)n4nc(c2cccc(F)c2)nc34)CC5)cc6,407662,CHEMBL246469
140,CN4CCN(CC(=O)Nc3cc(n1nc(C)cc1C)nc(c2ccco2)n3)CC4,418975,CHEMBL252171
141,Nc4nc(c1ccco1)c3ncn(C(=O)NCc2ccco2)c3n4,427580,CHEMBL259832
142,Cc3ccc(c2cc(C(=O)NCc1ccc[nH]1)nc(N)n2)o3,591855,CHEMBL596308
143,Nc4nc(N2CCN(Cc1c(Cl)cncc1Cl)CC2)nc5nc(c3ccco3)nn45,312206,CHEMBL187586
144,Nc4nc(NC[C@H]1CCCN1Cc2c(F)cc(F)cc2F)nc5nc(c3ccco3)nn45,296662,CHEMBL176039
145,Nc3nc(C(=O)NCc1ccccc1)cn4nc(c2ccco2)nc34,327179,CHEMBL363377
146,Nc6nc(N4CCN3C[C@@H](CN(Cc1cccnc1)Cc2cccnc2)CC[C@H]3C4)nc7nc(c5ccco5)nn67,373095,CHEMBL374149
147,Nc5nc(N3CCN2C[C@@H](CNCc1ccc(F)cc1F)CC[C@H]2C3)nc6nc(c4ccco4)nn56,373067,CHEMBL222097
148,NC[C@@H]5CC[C@H]4CN(c3nc(N)n2nc(c1ccco1)nc2n3)CCN4C5,373056,CHEMBL222589
149,CC(C)CCn5cc3c(nc(NC(=O)Cc1cccs1)n4nc(c2ccco2)nc34)n5,569698,CHEMBL572600
150,CN(C)C[C@@H]4CCN(CC(=O)Nc3cc(n1nc(C)cc1C)nc(c2ccc(C)o2)n3)C4,440434,CHEMBL272637
151,Cc4csc(c2nc(N)nc3n(Cc1ccccc1F)nnc23)n4,472211,CHEMBL505787
152,Cc1ccccc1CNC(=O)c3cc(c2ccco2)nc(N)n3,565205,CHEMBL551368
153,CC(C)(C)OC(=O)C1CCCN1CC(O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(N)=O)NC(=O)OCc3ccccc3,120089,CHEMBL75416
154,Nc3nc(NCCC1=CCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34,139587,CHEMBL314313
155,Cc4ccc(c3nn2c(N)nc1ccc(Cl)cc1n2c3=O)cc4,402808,CHEMBL392136
156,Cc5cc(C)n(c4cc(NC(=O)COc2cccc(CCN1CCOCC1)c2)nc(c3ccc(C)o3)n4)n5,424895,CHEMBL256546
157,COc7cc6CCN(CCn1ncc3c1nc(N)n4nc(c2ccco2)nc34)C(Cc5ccccc5)c6cc7OC,447789,CHEMBL510959
